name,company,technology,job,location,salary
Data Engineer,Talent Hills,"Data, python, spark, hive",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '14000', 'high': '20000', 'currency': 'PLN'}"
Data Engineer,Sollers Consulting,"Data, kafka, spark, sql",data engineer,"{'city': 'Wrocław   \xa0+8', 'country': 'N/A', 'remotely': False}","{'low': '17200', 'high': '21000', 'currency': 'PLN'}"
Lead Data Scientist Engineer (1/517),Infolet,"Data, sql, degree, python",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '22680', 'high': '27720', 'currency': 'PLN'}"
Data Engineer,STX Next,"Data, python, java, scala",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
Data Engineer - Product Catalogue ML,Allegro,"Data, python, big data, spark",data engineer,"{'city': 'Warszawa   \xa0+1', 'country': 'N/A', 'remotely': False}","{'low': '12300', 'high': '17600', 'currency': 'PLN'}"
Data Analyst (Engineer) (mid/senior),Revolut Ltd,"Data, python, sql, java",data engineer,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
Data Engineer (inżynier danych/inżynierka danych),Alterdata.io sp. z o.o.,"Data, sql, python, problem solving",data engineer,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '7000', 'high': '11000', 'currency': 'PLN'}"
Tech Lead Data Engineer with AWS,Nordcloud,"Data, sql, python, airflow",data engineer,"{'city': 'Zdalnie   \xa0+7', 'country': 'N/A', 'remotely': True}","{'low': '28000', 'high': '30000', 'currency': 'PLN'}"
Data Engineer (Spark),GetInData | Part of Xebia,"Data, spark, python, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '18480', 'high': '26880', 'currency': 'PLN'}"
Data Engineer (Delivery Experience),Allegro,"Data, gcp, sql, etl",data engineer,"{'city': 'Warszawa   \xa0+1', 'country': 'N/A', 'remotely': False}","{'low': '12300', 'high': '17600', 'currency': 'PLN'}"
Remote Senior Data Engineer,Kingfisher plc.,"Data, python, aws, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '22000', 'high': '25000', 'currency': 'PLN'}"
Remote Mid Data Engineer,Kingfisher plc.,"Data, python, aws, data modelling",data engineer,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '15000', 'high': '19000', 'currency': 'PLN'}"
Azure Data Engineer,JSS Associates,"Data, data engineering, etl, power bi",data engineer,"{'city': 'Poznań', 'country': 'N/A', 'remotely': False}","{'low': '23100', 'high': '27300', 'currency': 'PLN'}"
Senior Data Engineer,Falck IT Poland Sp. z o.o.,"Data, kafka, sql, azure",data engineer,"{'city': 'Warsaw', 'country': 'N/A', 'remotely': False}","{'low': '24000', 'high': '28000', 'currency': 'PLN'}"
Data Science Engineer,Infogain Technologies Sp. z o.o.,"Data, python, r, sql",data engineer,"{'city': 'Kraków', 'country': 'N/A', 'remotely': False}","{'low': '23520', 'high': '26880', 'currency': 'PLN'}"
Data Engineer,Chorus One,"Data, aws, blockchain, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '23389', 'high': '33413', 'currency': 'PLN'}"
Data Engineer (Snowflake),GetInData | Part of Xebia,"Data, snowflake, python, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '26880', 'high': '33600', 'currency': 'PLN'}"
Data Engineer (Mid / Regular),Sunscrapers,"Data, python, sql, postgresql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '22000', 'high': '25000', 'currency': 'PLN'}"
Remote Data Engineer (Spark),Varwise,"Data, scala, spark, aws",data engineer,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '26864', 'high': '36888', 'currency': 'PLN'}"
Data Engineer,hubQuest,"Data, python, sql, etl",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '27000', 'high': '37000', 'currency': 'PLN'}"
Data Engineer,Sunscrapers,"Data, python, pandas, sequel",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '20000', 'high': '24000', 'currency': 'PLN'}"
Senior Big Data Engineer (Scala) - Data & AI,Allegro,"Data, scala, java, hadoop",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '16100', 'high': '23200', 'currency': 'PLN'}"
Data Engineer with Python,AXA IT Solutions,"Data, python, spark, databricks",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '15960', 'high': '25200', 'currency': 'PLN'}"
Senior Data Engineer,GOG,"Data, python, machine learing, api",data engineer,"{'city': 'Warsaw', 'country': 'N/A', 'remotely': False}","{'low': '20000', 'high': '30000', 'currency': 'PLN'}"
Principal Data Scientist Engineer,Avenga,"Data, c++, java, communication skills",data engineer,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '30240', 'high': '33600', 'currency': 'PLN'}"
Data Engineer Hive Spark Scala,JSS Associates,"Data, spark, scala, hadoop",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '21000', 'high': '25200', 'currency': 'PLN'}"
"Data Engineer with Spark, Hive and Hadoop",JSS Associates,"Data, spark, hive, hadoop",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '27300', 'high': '33600', 'currency': 'PLN'}"
Data Engineer,Mindbox S.A.,"Data, python, data modeling, data engineering",data engineer,"{'city': 'Kraków', 'country': 'N/A', 'remotely': False}","{'low': '27300', 'high': '35700', 'currency': 'PLN'}"
Medior/Senior Data Engineer Scala,NIX Tech Kft.,"Data, scala, sql, data engineering",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '11107', 'high': '21103', 'currency': 'PLN'}"
Data Engineer,VirtusLab,"Data, python, sql, data modeling",data engineer,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '26000', 'high': '31000', 'currency': 'PLN'}"
Senior Data Engineer with Python,Objectivity - part of Accenture,"Data, databricks, python, pyspark",data engineer,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '21840', 'high': '30240', 'currency': 'PLN'}"
"Software Engineer (Java, Big Data Team) - Data&AI",Allegro,"Data, java, clean code, tdd",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '12300', 'high': '17600', 'currency': 'PLN'}"
Big Data Engineer,Reply Polska,"Data, spark, kubernetes, docker",data engineer,"{'city': 'Katowice', 'country': 'N/A', 'remotely': False}","{'low': '9000', 'high': '16000', 'currency': 'PLN'}"
